,SIG_CD,SIG_ENG_NM,SIG_KOR_NM
92,41285,"Ilsandong-gu, Goyang-si",고양시일산동구
93,41287,"Ilsanseo-gu, Goyang-si",고양시일산서구
94,41290,Gwacheon-si,과천시
95,41310,Guri-si,구리시
96,41360,Namyangju-si,남양주시
97,41370,Osan-si,오산시
98,41390,Siheung-si,시흥시
99,41410,Gunpo-si,군포시
100,41430,Uiwang-si,의왕시
101,41450,Hanam-si,하남시
102,41461,"Cheoin-gu, Yongin-si",용인시처인구
103,41463,"Giheung-gu, Yongin-si",용인시기흥구
104,41465,"Suji-gu, Yongin-si",용인시수지구
105,41480,Paju-si,파주시
106,41500,Icheon-si,이천시
107,41550,Anseong-si,안성시
108,41570,Gimpo-si,김포시
109,41590,Hwaseong-si,화성시
110,41610,Gwangju-si,광주시
111,41630,Yangju-si,양주시
112,41650,Pocheon-si,포천시
113,41670,Yeoju-si,여주시
114,41800,Yeoncheon-gun,연천군
115,41820,Gapyeong-gun,가평군
116,41830,Yangpyeong-gun,양평군
117,42110,Chuncheon-si,춘천시
118,42130,Wonju-si,원주시
119,42150,Gangneung-si,강릉시
120,42170,Donghae-si,동해시
121,42190,Taebaek-si,태백시
122,42210,Sokcho-si,속초시
123,42230,Samcheok-si,삼척시
124,42720,Hongcheon-gun,홍천군
125,42730,Hoengseong-gun,횡성군
126,42750,Yeongwol-gun,영월군
127,42760,Pyeongchang-gun,평창군
128,42770,Jeongseon-gun,정선군
129,42780,Cheorwon-gun,철원군
130,42790,Hwacheon-gun,화천군
131,42800,Yanggu-gun,양구군
132,42810,Inje-gun,인제군
133,42820,Goseong-gun,고성군
134,42830,Yangyang-gun,양양군
135,43111,"Sangdang-gu, Cheongju-si",청주시 상당구
136,43112,"Seowon-gu, Cheongju-si",청주시 서원구
137,43113,"Heungdeok-gu, Cheongju-si",청주시 흥덕구
138,43114,"Cheongwon-gu, Cheongju-si",청주시 청원구
139,43130,Chungju-si,충주시
140,43150,Jecheon-si,제천시
141,43720,Boeun-gun,보은군
142,43730,Okcheon-gun,옥천군
143,43740,Yeongdong-gun,영동군
144,43745,Jeungpyeong-gun,증평군
145,43750,Jincheon-gun,진천군
146,43760,Goesan-gun,괴산군
147,43770,Eumseong-gun,음성군
148,43800,Danyang-gun,단양군
149,44131,"Dongnam-gu, Cheonan-si",천안시동남구
150,44133,"Seobuk-gu, Cheonan-si",천안시서북구
151,44150,Gongju-si,공주시
152,44180,Boryeong-si,보령시
153,44200,Asan-si,아산시
154,44210,Seosan-si,서산시
155,44230,Nonsan-si,논산시
156,44250,Gyeryong-si,계룡시
157,44270,Dangjin-si,당진시
158,44710,Geumsan-gun,금산군
159,44760,Buyeo-gun,부여군
160,44770,Seocheon-gun,서천군
161,44790,Cheongyang-gun,청양군
162,44800,Hongseong-gun,홍성군
163,44810,Yesan-gun,예산군
164,44825,Taean-gun,태안군
165,45111,"Wansan-gu, Jeonju-si",전주시완산구
166,45113,"Deokjin-gu, Jeonju-si",전주시덕진구
167,45130,Gunsan-si,군산시
168,45140,Iksan-si,익산시
169,45180,Jeongeup-si,정읍시
170,45190,Namwon-si,남원시
171,45210,Gimje-si,김제시
172,45710,Wanju-gun,완주군
173,45720,Jinan-gun,진안군
174,45730,Muju-gun,무주군
175,45740,Jangsu-gun,장수군
176,45750,Imsil-gun,임실군
177,45770,Sunchang-gun,순창군
178,45790,Gochang-gun,고창군
179,45800,Buan-gun,부안군
180,46110,Mokpo-si,목포시
181,46130,Yeosu-si,여수시
182,46150,Suncheon-si,순천시
183,46170,Naju-si,나주시
184,46230,Gwangyang-si,광양시
185,46710,Damyang-gun,담양군
186,46720,Gokseong-gun,곡성군
187,46730,Gurye-gun,구례군
188,46770,Goheung-gun,고흥군
189,46780,Boseong-gun,보성군
190,46790,Hwasun-gun,화순군
191,46800,Jangheung-gun,장흥군
192,46810,Gangjin-gun,강진군
193,46820,Haenam-gun,해남군
194,46830,Yeongam-gun,영암군
195,46840,Muan-gun,무안군
196,46860,Hampyeong-gun,함평군
197,46870,Yeonggwang-gun,영광군
198,46880,Jangseong-gun,장성군
199,46890,Wando-gun,완도군
200,46900,Jindo-gun,진도군
201,46910,Sinan-gun,신안군
202,47111,"Nam-gu, Pohang-si",포항시 남구
203,47113,"Buk-gu, Pohang-si",포항시 북구
204,47130,Gyeongju-si,경주시
205,47150,Gimcheon-si,김천시
206,47170,Andong-si,안동시
207,47190,Gumi-si,구미시
208,47210,Yeongju-si,영주시
209,47230,Yeongcheon-si,영천시
210,47250,Sangju-si,상주시
211,47280,Mungyeong-si,문경시
212,47290,Gyeongsan-si,경산시
213,47720,Gunwi-gun,군위군
214,47730,Uiseong-gun,의성군
215,47750,Cheongsong-gun,청송군
216,47760,Yeongyang-gun,영양군
217,47770,Yeongdeok-gun,영덕군
218,47820,Cheongdo-gun,청도군
219,47830,Goryeong-gun,고령군
220,47840,Seongju-gun,성주군
221,47850,Chilgok-gun,칠곡군
222,47900,Yecheon-gun,예천군
223,47920,Bonghwa-gun,봉화군
224,47930,Uljin-gun,울진군
225,47940,Ulleung-gun,울릉군
226,48121,"Uichang-gu, Changwon-si",창원시 의창구
227,48123,"Seongsan-gu, Changwon-si",창원시 성산구
228,48125,"Masanhappo-gu, Changwon-si",창원시 마산합포구
229,48127,"Masanhoewon-gu, Changwon-si",창원시 마산회원구
230,48129,"Jinhae-gu, Changwon-si",창원시 진해구
231,48170,Jinju-si,진주시
232,48220,Tongyeong-si,통영시
233,48240,Sacheon-si,사천시
234,48250,Gimhae-si,김해시
235,48270,Miryang-si,밀양시
236,48310,Geoje-si,거제시
237,48330,Yangsan-si,양산시
238,48720,Uiryeong-gun,의령군
239,48730,Haman-gun,함안군
240,48740,Changnyeong-gun,창녕군
241,48820,Goseong-gun,고성군
242,48840,Namhae-gun,남해군
243,48850,Hadong-gun,하동군
244,48860,Sancheong-gun,산청군
245,48870,Hamyang-gun,함양군
246,48880,Geochang-gun,거창군
247,48890,Hapcheon-gun,합천군
248,50110,Jeju-si,제주시
249,50130,Seogwipo-si,서귀포시
